Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIODO	VALOR
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2057	54.931.606,215028
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2056	54.951.979,077110
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2055	54.965.070,492635
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2054	54.969.675,360164
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2053	54.964.800,114130
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2052	54.949.479,459534
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2051	54.922.923,972898
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2050	54.884.720,667167
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2049	54.834.632,321295
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2048	54.772.439,749693
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2047	54.698.022,842486
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2046	54.611.884,718333
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2045	54.514.657,984427
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2044	54.406.914,925128
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2043	54.289.581,263417
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2042	54.164.023,119581
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2041	54.031.401,317441
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2040	53.892.708,631179
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2039	53.747.904,894293
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2038	53.597.525,129538
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2037	53.442.607,602498
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2036	53.281.138,523991
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2035	53.109.717,711908
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2034	52.923.576,384872
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2033	52.716.064,315197
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2032	52.478.912,999872
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2031	52.202.438,723784
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2030	51.876.063,854919
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2029	51.489.372,571964
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2028	51.033.947,885234
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2027	50.506.066,277745
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2026	49.910.256,365085
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2025	49.265.049,133149
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Totales de edad	Todas las edades	2024	48.610.458,000000
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2074	405.912,619408
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2073	403.826,157148
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2072	401.473,424704
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2071	398.873,618287
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2070	396.058,756134
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2069	393.067,825981
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2068	389.942,510500
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2067	386.733,316025
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2066	383.495,379224
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2065	380.299,550014
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2064	377.229,966785
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2063	374.383,185678
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2062	371.865,362836
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2061	369.792,026091
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2060	368.285,753097
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2059	367.452,029374
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2058	367.345,040516
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2057	367.986,204912
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2056	369.381,718482
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2055	371.495,040740
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2054	374.261,773582
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2053	377.578,545672
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2052	381.302,496492
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2051	385.293,314821
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2050	389.409,001565
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2049	393.491,867832
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2048	397.375,940080
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2047	400.882,691311
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2046	403.875,030868
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2045	406.238,948236
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2044	407.846,857261
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2043	408.641,566543
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2042	408.613,876270
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2041	407.762,325530
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2040	406.158,974719
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2039	403.928,585671
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2038	399.294,530145
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2037	394.306,025051
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2036	389.126,125556
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2035	383.913,180849
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2034	378.770,089163
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2033	373.697,103880
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2032	368.643,818959
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2031	363.524,233313
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2030	358.204,562397
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2029	352.557,847884
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2028	346.500,388819
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2027	340.035,492713
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2026	333.335,955810
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2025	326.808,003036
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	0 años	2024	322.602,000000
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2074	407.475,452718
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2073	405.136,662237
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2072	402.557,653793
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2071	399.766,568364
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2070	396.800,393957
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2069	393.700,025182
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2068	390.515,962106
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2067	387.303,475471
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2066	384.133,588605
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2065	381.090,277700
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2064	378.269,547302
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2063	375.776,387944
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2062	373.725,406554
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2061	372.237,807035
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2060	371.417,682792
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2059	371.318,525276
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2058	371.961,292253
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2057	373.352,158373
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2056	375.455,073780
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2055	378.206,467078
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2054	381.504,220025
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2053	385.206,848121
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2052	389.175,464324
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2051	393.269,057183
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2050	397.330,963950
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2049	401.195,993244
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2048	404.686,258205
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2047	407.664,819470
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2046	410.017,603983
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2045	411.617,083110
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2044	412.405,931545
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2043	412.374,885258
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2042	411.523,315205
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2041	409.924,675125
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2040	407.706,200619
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2039	403.107,707471
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2038	398.172,256791
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2037	393.071,090534
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2036	387.972,515981
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2035	382.991,047630
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2034	378.139,785458
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2033	373.380,786279
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2032	368.637,968333
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2031	363.782,549158
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2030	358.683,658614
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2029	353.239,925588
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2028	347.417,081828
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2027	341.322,751953
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2026	335.262,094450
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2025	331.289,749319
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	1 año	2024	329.790,000000
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2074	408.823,537872
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2073	406.261,550145
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2072	403.493,637316
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2071	400.553,176608
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2070	397.479,156021
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2069	394.321,217806
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2068	391.134,555994
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2067	387.990,159032
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2066	384.972,049848
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2065	382.175,978448
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2064	379.706,342836
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2063	377.676,762601
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2062	376.207,327570
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2061	375.400,986597
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2060	375.310,348384
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2059	375.956,003856
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2058	377.343,824173
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2057	379.438,098044
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2056	382.175,945193
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2055	385.456,330919
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2054	389.139,254790
Tipo de dato	Proyección a largo plazo	Sexo	Total	Nacimiento Residencia	Población	Total Nacional	Total Nacional	Valores simples de edad	2 años	2053	393.087,087549
