"id";"age";"job";"marital";"education";"default_credit";"contact";"contact_day";"contact_month";"duration";"campaign";"pdays";"previous";"poutcome";"deposit";"age_slot";"duration_slot";"prevdays_slot"
34;26;"blue-collar";"single";"secondary";"no";"unknown";9;"may";654;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
35;40;"blue-collar";"married";"secondary";"no";"unknown";9;"may";1692;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
36;33;"blue-collar";"divorced";"primary";"no";"unknown";9;"may";665;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
37;32;"management";"single";"tertiary";"no";"unknown";12;"may";757;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
38;35;"blue-collar";"married";"primary";"no";"unknown";13;"may";504;4;-1;0;"n/a";"yes";"3X";"d<10";"nc"
39;33;"management";"divorced";"secondary";"no";"unknown";13;"may";1346;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
40;38;"management";"married";"tertiary";"no";"unknown";13;"may";568;4;-1;0;"n/a";"yes";"3X";"d<10";"nc"
41;23;"entrepreneur";"single";"primary";"no";"unknown";13;"may";395;2;-1;0;"n/a";"yes";"2X";"d<7";"nc"
42;60;"blue-collar";"married";"primary";"no";"unknown";13;"may";1015;1;-1;0;"n/a";"yes";"6X";"d>10";"nc"
43;48;"management";"married";"tertiary";"no";"unknown";13;"may";683;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
44;45;"entrepreneur";"divorced";"tertiary";"no";"unknown";13;"may";470;1;-1;0;"n/a";"yes";"4X";"d<10";"nc"
45;36;"blue-collar";"married";"secondary";"no";"unknown";13;"may";1001;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
46;52;"management";"married";"unknown";"no";"unknown";13;"may";845;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
47;35;"blue-collar";"divorced";"primary";"no";"unknown";13;"may";945;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
48;43;"technician";"married";"secondary";"no";"unknown";13;"may";1721;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
49;52;"housemaid";"married";"secondary";"no";"unknown";14;"may";942;3;-1;0;"n/a";"yes";"5X";"d>10";"nc"
50;53;"technician";"divorced";"primary";"no";"unknown";14;"may";476;1;-1;0;"n/a";"yes";"5X";"d<10";"nc"
51;48;"blue-collar";"divorced";"primary";"no";"unknown";14;"may";832;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
52;41;"blue-collar";"single";"primary";"no";"unknown";14;"may";1553;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
53;39;"management";"divorced";"tertiary";"no";"unknown";14;"may";1328;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
54;59;"retired";"married";"secondary";"no";"unknown";14;"may";1125;2;-1;0;"n/a";"yes";"5X";"d>10";"nc"
55;41;"blue-collar";"married";"secondary";"no";"unknown";14;"may";858;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
56;48;"blue-collar";"married";"secondary";"no";"unknown";14;"may";629;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
57;40;"admin";"married";"secondary";"no";"unknown";14;"may";704;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
58;48;"blue-collar";"married";"secondary";"no";"unknown";14;"may";760;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
59;60;"retired";"married";"primary";"no";"unknown";14;"may";930;1;-1;0;"n/a";"yes";"6X";"d>10";"nc"
60;40;"technician";"single";"unknown";"no";"unknown";14;"may";1028;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
61;57;"technician";"married";"tertiary";"no";"unknown";14;"may";850;2;-1;0;"n/a";"yes";"5X";"d>10";"nc"
62;51;"blue-collar";"married";"secondary";"no";"unknown";14;"may";927;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
63;41;"blue-collar";"divorced";"secondary";"no";"unknown";14;"may";1423;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
64;41;"blue-collar";"married";"secondary";"no";"unknown";15;"may";1162;4;-1;0;"n/a";"yes";"4X";"d>10";"nc"
65;52;"blue-collar";"divorced";"primary";"no";"unknown";15;"may";755;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
66;59;"blue-collar";"married";"primary";"no";"unknown";15;"may";695;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
67;44;"blue-collar";"married";"unknown";"no";"unknown";15;"may";483;1;-1;0;"n/a";"yes";"4X";"d<10";"nc"
68;49;"unknown";"married";"primary";"no";"unknown";15;"may";520;2;-1;0;"n/a";"yes";"4X";"d<10";"nc"
69;40;"services";"married";"primary";"no";"unknown";15;"may";920;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
70;41;"admin";"married";"primary";"no";"unknown";15;"may";500;1;-1;0;"n/a";"yes";"4X";"d<10";"nc"
71;44;"technician";"married";"tertiary";"no";"unknown";15;"may";911;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
72;60;"services";"single";"primary";"no";"unknown";15;"may";920;2;-1;0;"n/a";"yes";"6X";"d>10";"nc"
73;29;"management";"married";"tertiary";"no";"unknown";15;"may";1224;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
74;41;"retired";"divorced";"primary";"no";"unknown";15;"may";1156;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
75;41;"blue-collar";"married";"primary";"no";"unknown";15;"may";1052;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
76;42;"technician";"single";"secondary";"no";"unknown";15;"may";1867;6;-1;0;"n/a";"yes";"4X";"d>10";"nc"
77;36;"services";"single";"unknown";"no";"unknown";16;"may";515;1;-1;0;"n/a";"yes";"3X";"d<10";"nc"
78;39;"technician";"married";"tertiary";"no";"unknown";16;"may";813;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
79;31;"self-employed";"single";"tertiary";"no";"unknown";16;"may";676;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
80;26;"blue-collar";"married";"secondary";"no";"unknown";16;"may";1143;3;-1;0;"n/a";"yes";"2X";"d>10";"nc"
81;31;"blue-collar";"married";"secondary";"no";"unknown";16;"may";688;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
82;29;"admin";"single";"secondary";"no";"unknown";16;"may";803;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
83;37;"services";"divorced";"secondary";"no";"unknown";16;"may";619;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
84;33;"blue-collar";"single";"secondary";"no";"unknown";16;"may";767;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
85;24;"technician";"single";"secondary";"no";"unknown";16;"may";912;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
86;50;"admin";"divorced";"secondary";"no";"unknown";16;"may";1340;1;-1;0;"n/a";"yes";"5X";"d>10";"nc"
87;27;"technician";"single";"tertiary";"no";"unknown";16;"may";897;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
88;54;"management";"single";"tertiary";"no";"unknown";16;"may";1297;3;-1;0;"n/a";"yes";"5X";"d>10";"nc"
89;30;"technician";"single";"secondary";"no";"unknown";16;"may";1193;5;-1;0;"n/a";"yes";"3X";"d>10";"nc"
90;34;"blue-collar";"married";"primary";"no";"unknown";16;"may";1064;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
91;37;"management";"single";"secondary";"no";"unknown";16;"may";1187;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
92;41;"admin";"single";"secondary";"no";"unknown";19;"may";882;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
93;47;"blue-collar";"married";"secondary";"no";"unknown";19;"may";943;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
94;31;"admin";"married";"secondary";"no";"unknown";19;"may";607;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
95;31;"blue-collar";"married";"secondary";"no";"unknown";19;"may";1022;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
96;43;"services";"divorced";"secondary";"no";"unknown";19;"may";552;3;-1;0;"n/a";"yes";"4X";"d<10";"nc"
97;37;"management";"divorced";"tertiary";"no";"unknown";19;"may";1622;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
98;30;"technician";"single";"tertiary";"no";"unknown";19;"may";967;6;-1;0;"n/a";"yes";"3X";"d>10";"nc"
99;41;"technician";"married";"secondary";"no";"unknown";19;"may";579;5;-1;0;"n/a";"yes";"4X";"d<10";"nc"
100;36;"blue-collar";"married";"secondary";"no";"unknown";20;"may";446;1;-1;0;"n/a";"yes";"3X";"d<7";"nc"
101;35;"blue-collar";"divorced";"secondary";"no";"unknown";20;"may";1205;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
102;29;"services";"single";"secondary";"no";"unknown";20;"may";1882;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
103;35;"blue-collar";"married";"primary";"no";"unknown";20;"may";1334;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
104;31;"blue-collar";"married";"secondary";"no";"unknown";20;"may";182;2;-1;0;"n/a";"yes";"3X";"d<5";"nc"
105;35;"services";"married";"secondary";"no";"unknown";20;"may";1777;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
106;34;"technician";"single";"secondary";"no";"unknown";20;"may";1182;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
107;31;"admin";"single";"secondary";"no";"unknown";20;"may";1045;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
108;44;"technician";"divorced";"secondary";"no";"unknown";20;"may";650;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
109;36;"blue-collar";"married";"primary";"no";"unknown";20;"may";1063;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
110;35;"blue-collar";"married";"unknown";"no";"unknown";20;"may";843;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
111;41;"blue-collar";"married";"primary";"no";"unknown";20;"may";1392;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
112;31;"blue-collar";"single";"primary";"no";"unknown";21;"may";565;1;-1;0;"n/a";"yes";"3X";"d<10";"nc"
113;34;"blue-collar";"married";"secondary";"no";"unknown";21;"may";905;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
114;32;"technician";"married";"secondary";"no";"unknown";21;"may";783;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
115;36;"management";"married";"tertiary";"no";"unknown";21;"may";958;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
116;30;"blue-collar";"single";"secondary";"yes";"unknown";21;"may";412;1;-1;0;"n/a";"yes";"3X";"d<7";"nc"
117;37;"technician";"single";"secondary";"no";"unknown";21;"may";795;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
118;36;"blue-collar";"married";"primary";"no";"unknown";21;"may";649;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
119;31;"management";"single";"tertiary";"no";"unknown";21;"may";506;2;-1;0;"n/a";"yes";"3X";"d<10";"nc"
120;27;"technician";"married";"secondary";"no";"unknown";21;"may";857;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
121;34;"retired";"married";"primary";"no";"unknown";21;"may";1681;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
122;30;"technician";"single";"tertiary";"no";"unknown";21;"may";1697;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
123;32;"technician";"single";"tertiary";"no";"unknown";21;"may";860;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
124;37;"technician";"single";"secondary";"no";"unknown";21;"may";799;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
125;32;"blue-collar";"married";"secondary";"no";"unknown";21;"may";923;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
126;33;"blue-collar";"married";"secondary";"no";"unknown";21;"may";521;3;-1;0;"n/a";"yes";"3X";"d<10";"nc"
127;35;"blue-collar";"married";"primary";"no";"unknown";23;"may";1349;8;-1;0;"n/a";"yes";"3X";"d>10";"nc"
128;35;"self-employed";"divorced";"tertiary";"no";"unknown";23;"may";736;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
129;30;"blue-collar";"single";"secondary";"no";"unknown";23;"may";785;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
130;45;"blue-collar";"divorced";"primary";"no";"unknown";23;"may";1030;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
131;45;"admin";"married";"secondary";"no";"unknown";23;"may";893;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
132;33;"blue-collar";"married";"secondary";"no";"unknown";23;"may";588;3;-1;0;"n/a";"yes";"3X";"d<10";"nc"
133;44;"management";"divorced";"tertiary";"no";"unknown";23;"may";597;6;-1;0;"n/a";"yes";"4X";"d<10";"nc"
134;40;"blue-collar";"married";"primary";"no";"unknown";23;"may";1015;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
135;31;"blue-collar";"married";"secondary";"no";"unknown";23;"may";1392;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
136;30;"technician";"married";"tertiary";"no";"unknown";26;"may";414;2;-1;0;"n/a";"yes";"3X";"d<7";"nc"
137;44;"technician";"divorced";"secondary";"no";"unknown";26;"may";788;11;-1;0;"n/a";"yes";"4X";"d>10";"nc"
138;34;"services";"married";"secondary";"no";"unknown";26;"may";682;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
139;37;"blue-collar";"married";"secondary";"no";"unknown";26;"may";679;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
140;28;"self-employed";"single";"tertiary";"no";"unknown";26;"may";1560;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
141;32;"admin";"single";"secondary";"no";"unknown";26;"may";1234;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
142;37;"blue-collar";"divorced";"secondary";"no";"unknown";26;"may";642;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
143;34;"management";"married";"tertiary";"no";"unknown";26;"may";895;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
144;38;"admin";"divorced";"secondary";"no";"unknown";26;"may";431;2;-1;0;"n/a";"yes";"3X";"d<7";"nc"
145;28;"admin";"single";"secondary";"no";"unknown";26;"may";741;6;-1;0;"n/a";"yes";"2X";"d>10";"nc"
146;31;"management";"divorced";"tertiary";"no";"unknown";26;"may";1272;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
147;59;"services";"married";"secondary";"no";"unknown";26;"may";748;3;-1;0;"n/a";"yes";"5X";"d>10";"nc"
148;24;"blue-collar";"married";"secondary";"no";"unknown";26;"may";896;3;-1;0;"n/a";"yes";"2X";"d>10";"nc"
149;26;"services";"single";"secondary";"no";"unknown";26;"may";764;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
150;59;"retired";"single";"secondary";"no";"unknown";27;"may";1063;5;-1;0;"n/a";"yes";"5X";"d>10";"nc"
151;30;"entrepreneur";"single";"primary";"no";"unknown";27;"may";1051;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
152;37;"admin";"married";"secondary";"no";"unknown";27;"may";731;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
153;30;"admin";"single";"secondary";"no";"unknown";27;"may";751;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
154;25;"blue-collar";"married";"secondary";"no";"unknown";27;"may";709;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
155;44;"services";"divorced";"secondary";"no";"unknown";27;"may";3094;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
156;29;"management";"married";"tertiary";"no";"unknown";28;"may";938;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
157;26;"management";"single";"tertiary";"no";"unknown";28;"may";1560;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
158;26;"technician";"single";"secondary";"no";"unknown";28;"may";576;3;-1;0;"n/a";"yes";"2X";"d<10";"nc"
159;27;"services";"single";"secondary";"no";"unknown";28;"may";543;2;-1;0;"n/a";"yes";"2X";"d<10";"nc"
160;25;"self-employed";"single";"secondary";"no";"unknown";28;"may";615;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
161;28;"management";"married";"secondary";"no";"unknown";28;"may";507;1;-1;0;"n/a";"yes";"2X";"d<10";"nc"
162;23;"services";"single";"secondary";"no";"unknown";28;"may";1183;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
163;34;"management";"single";"tertiary";"no";"unknown";28;"may";864;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
164;28;"student";"single";"secondary";"no";"unknown";28;"may";1730;1;-1;0;"n/a";"yes";"2X";"d>10";"nc"
165;51;"entrepreneur";"married";"unknown";"no";"unknown";28;"may";560;9;-1;0;"n/a";"yes";"5X";"d<10";"nc"
166;35;"blue-collar";"married";"secondary";"no";"unknown";29;"may";543;1;-1;0;"n/a";"yes";"3X";"d<10";"nc"
167;35;"admin";"married";"secondary";"no";"unknown";29;"may";539;1;-1;0;"n/a";"yes";"3X";"d<10";"nc"
168;56;"blue-collar";"married";"secondary";"no";"unknown";29;"may";791;2;-1;0;"n/a";"yes";"5X";"d>10";"nc"
169;45;"unemployed";"divorced";"secondary";"no";"unknown";29;"may";746;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
170;60;"blue-collar";"divorced";"secondary";"no";"unknown";29;"may";1207;1;-1;0;"n/a";"yes";"6X";"d>10";"nc"
171;56;"technician";"married";"secondary";"no";"unknown";29;"may";535;2;-1;0;"n/a";"yes";"5X";"d<10";"nc"
172;27;"management";"single";"tertiary";"no";"unknown";29;"may";789;3;-1;0;"n/a";"yes";"2X";"d>10";"nc"
173;30;"admin";"married";"secondary";"no";"unknown";29;"may";792;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
174;45;"blue-collar";"divorced";"primary";"no";"unknown";29;"may";833;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
175;29;"blue-collar";"single";"secondary";"no";"unknown";29;"may";814;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
176;38;"management";"divorced";"tertiary";"no";"unknown";29;"may";1363;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
177;30;"blue-collar";"married";"secondary";"no";"unknown";29;"may";1109;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
178;44;"blue-collar";"single";"primary";"no";"unknown";29;"may";828;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
179;36;"management";"single";"tertiary";"no";"unknown";30;"may";917;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
180;38;"technician";"married";"secondary";"no";"unknown";30;"may";762;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
181;36;"blue-collar";"single";"secondary";"no";"unknown";30;"may";1133;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
182;37;"management";"divorced";"secondary";"no";"unknown";30;"may";638;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
183;35;"management";"single";"tertiary";"no";"unknown";30;"may";763;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
184;38;"admin";"divorced";"secondary";"no";"unknown";30;"may";604;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
185;40;"services";"married";"primary";"no";"unknown";30;"may";854;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
186;42;"unemployed";"divorced";"secondary";"no";"unknown";30;"may";855;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
187;46;"management";"divorced";"tertiary";"no";"unknown";30;"may";1269;1;-1;0;"n/a";"yes";"4X";"d>10";"nc"
188;35;"technician";"divorced";"secondary";"no";"unknown";30;"may";691;10;-1;0;"n/a";"yes";"3X";"d>10";"nc"
189;34;"technician";"divorced";"secondary";"no";"unknown";30;"may";1097;15;-1;0;"n/a";"yes";"3X";"d>10";"nc"
190;32;"services";"married";"secondary";"no";"unknown";30;"may";1236;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
191;50;"unemployed";"married";"secondary";"no";"unknown";30;"may";886;3;-1;0;"n/a";"yes";"5X";"d>10";"nc"
192;35;"blue-collar";"married";"secondary";"no";"unknown";30;"may";1343;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
193;36;"technician";"single";"secondary";"no";"unknown";30;"may";812;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
194;53;"blue-collar";"divorced";"primary";"no";"unknown";30;"may";1980;2;-1;0;"n/a";"yes";"5X";"d>10";"nc"
195;46;"management";"single";"tertiary";"no";"unknown";30;"may";984;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
196;26;"management";"single";"tertiary";"no";"unknown";30;"may";228;2;-1;0;"n/a";"yes";"2X";"d<5";"nc"
197;45;"technician";"single";"secondary";"no";"unknown";30;"may";891;4;-1;0;"n/a";"yes";"4X";"d>10";"nc"
198;31;"unemployed";"divorced";"primary";"no";"unknown";30;"may";745;12;-1;0;"n/a";"yes";"3X";"d>10";"nc"
199;29;"management";"single";"tertiary";"no";"unknown";30;"may";539;12;-1;0;"n/a";"yes";"2X";"d<10";"nc"
200;53;"entrepreneur";"single";"secondary";"no";"unknown";30;"may";1044;5;-1;0;"n/a";"yes";"5X";"d>10";"nc"
201;27;"blue-collar";"married";"primary";"no";"unknown";30;"may";1193;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
202;39;"management";"married";"tertiary";"no";"unknown";2;"jun";526;2;-1;0;"n/a";"yes";"3X";"d<10";"nc"
203;36;"services";"married";"secondary";"no";"unknown";2;"jun";394;1;-1;0;"n/a";"yes";"3X";"d<7";"nc"
204;41;"blue-collar";"married";"primary";"no";"unknown";2;"jun";659;2;-1;0;"n/a";"yes";"4X";"d>10";"nc"
205;36;"services";"married";"primary";"no";"unknown";2;"jun";1036;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
206;32;"technician";"married";"secondary";"no";"unknown";2;"jun";815;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
207;35;"services";"married";"secondary";"no";"unknown";2;"jun";563;1;-1;0;"n/a";"yes";"3X";"d<10";"nc"
208;36;"management";"single";"tertiary";"no";"unknown";2;"jun";1068;1;-1;0;"n/a";"yes";"3X";"d>10";"nc"
209;35;"management";"married";"tertiary";"no";"unknown";2;"jun";230;3;-1;0;"n/a";"yes";"3X";"d<5";"nc"
210;30;"blue-collar";"single";"secondary";"no";"unknown";2;"jun";747;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
211;42;"blue-collar";"married";"secondary";"no";"unknown";2;"jun";671;5;-1;0;"n/a";"yes";"4X";"d>10";"nc"
212;42;"technician";"single";"secondary";"yes";"unknown";2;"jun";555;5;-1;0;"n/a";"yes";"4X";"d<10";"nc"
213;32;"blue-collar";"married";"primary";"no";"unknown";2;"jun";777;4;-1;0;"n/a";"yes";"3X";"d>10";"nc"
214;29;"blue-collar";"single";"secondary";"no";"unknown";2;"jun";707;14;-1;0;"n/a";"yes";"2X";"d>10";"nc"
215;44;"management";"divorced";"tertiary";"yes";"unknown";2;"jun";432;4;-1;0;"n/a";"yes";"4X";"d<7";"nc"
216;32;"technician";"single";"secondary";"no";"unknown";3;"jun";1173;3;-1;0;"n/a";"yes";"3X";"d>10";"nc"
217;31;"unemployed";"married";"secondary";"no";"unknown";3;"jun";963;2;-1;0;"n/a";"yes";"3X";"d>10";"nc"
218;40;"self-employed";"married";"secondary";"yes";"unknown";3;"jun";941;3;-1;0;"n/a";"yes";"4X";"d>10";"nc"
219;43;"entrepreneur";"married";"secondary";"no";"unknown";3;"jun";1025;7;-1;0;"n/a";"yes";"4X";"d>10";"nc"
220;27;"management";"single";"secondary";"no";"unknown";3;"jun";732;2;-1;0;"n/a";"yes";"2X";"d>10";"nc"
