id,age,job,marital,education,producto,is_in_default,balance
63,41.0,blue-collar,divorced,secondary,hipoteca__deposit,0.0,5291
64,41.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1384
65,52.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,-191
66,59.0,blue-collar,married,primary,hipoteca__deposit,0.0,320
67,44.0,blue-collar,married,unknown,hipoteca__deposit,0.0,146
68,49.0,unknown,married,primary,hipoteca_credito_deposit,0.0,341
69,40.0,services,married,primary,hipoteca__deposit,0.0,-9
70,41.0,admin.,married,primary,hipoteca__deposit,0.0,-306
71,44.0,technician,married,tertiary,hipoteca__deposit,0.0,4580
72,60.0,services,single,primary,hipoteca__deposit,0.0,313
73,29.0,management,married,tertiary,deposit,0.0,10576
74,41.0,retired,divorced,primary,hipoteca__deposit,0.0,-233
75,41.0,blue-collar,married,primary,hipoteca__deposit,0.0,2453
76,42.0,technician,single,secondary,hipoteca__deposit,0.0,1364
77,36.0,services,single,unknown,hipoteca__deposit,0.0,281
78,39.0,technician,married,tertiary,hipoteca_credito_deposit,0.0,94
79,31.0,self-employed,single,tertiary,hipoteca__deposit,0.0,144
80,26.0,blue-collar,married,secondary,hipoteca__deposit,0.0,246
81,31.0,blue-collar,married,secondary,hipoteca__deposit,0.0,92
82,29.0,admin.,single,secondary,hipoteca_credito_deposit,0.0,163
83,37.0,services,divorced,secondary,hipoteca__deposit,0.0,49
84,33.0,blue-collar,single,secondary,hipoteca__deposit,0.0,-416
85,24.0,technician,single,secondary,hipoteca__deposit,0.0,409
86,50.0,admin.,divorced,secondary,hipoteca__deposit,0.0,363
87,27.0,technician,single,tertiary,hipoteca__deposit,0.0,3706
88,54.0,management,single,tertiary,hipoteca__deposit,0.0,4393
89,30.0,technician,single,secondary,hipoteca__deposit,0.0,863
90,34.0,blue-collar,married,primary,hipoteca_credito_deposit,0.0,695
91,37.0,management,single,secondary,hipoteca__deposit,0.0,792
92,41.0,admin.,single,secondary,hipoteca__deposit,0.0,1020
93,47.0,blue-collar,married,secondary,hipoteca__deposit,0.0,863
94,31.0,admin.,married,secondary,hipoteca__deposit,0.0,97
95,31.0,blue-collar,married,secondary,hipoteca__deposit,0.0,754
96,43.0,services,divorced,secondary,hipoteca__deposit,0.0,1040
97,37.0,management,divorced,tertiary,hipoteca__deposit,0.0,122
98,30.0,technician,single,tertiary,hipoteca_credito_deposit,0.0,880
99,41.0,technician,married,secondary,hipoteca__deposit,0.0,501
100,36.0,blue-collar,married,secondary,hipoteca__deposit,0.0,4438
101,35.0,blue-collar,divorced,secondary,hipoteca__deposit,0.0,0
102,29.0,services,single,secondary,hipoteca__deposit,0.0,271
103,35.0,blue-collar,married,primary,hipoteca__deposit,0.0,102
104,31.0,blue-collar,married,secondary,hipoteca__deposit,0.0,2
105,35.0,services,married,secondary,hipoteca__deposit,0.0,4170
106,34.0,technician,single,secondary,hipoteca__deposit,0.0,85
107,31.0,admin.,single,secondary,hipoteca_credito_deposit,0.0,431
108,44.0,technician,divorced,secondary,hipoteca__deposit,0.0,982
109,36.0,blue-collar,married,primary,hipoteca_credito_deposit,0.0,408
110,35.0,blue-collar,married,unknown,hipoteca__deposit,0.0,4822
111,41.0,blue-collar,married,primary,hipoteca__deposit,0.0,1250
112,31.0,blue-collar,single,primary,hipoteca__deposit,0.0,216
113,34.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1207
114,32.0,technician,married,secondary,hipoteca__deposit,0.0,791
115,36.0,management,married,tertiary,hipoteca_credito_deposit,0.0,849
116,30.0,blue-collar,single,secondary,hipoteca__deposit,1.0,239
117,37.0,technician,single,secondary,hipoteca__deposit,0.0,1211
118,36.0,blue-collar,married,primary,hipoteca__deposit,0.0,599
119,31.0,management,single,tertiary,hipoteca__deposit,0.0,825
120,27.0,technician,married,secondary,hipoteca_credito_deposit,0.0,2183
121,34.0,retired,married,primary,deposit,0.0,4499
122,30.0,technician,single,tertiary,hipoteca__deposit,0.0,1289
123,32.0,technician,single,tertiary,hipoteca__deposit,0.0,4665
124,37.0,technician,single,secondary,hipoteca__deposit,0.0,3326
125,32.0,blue-collar,married,secondary,hipoteca__deposit,0.0,783
126,33.0,blue-collar,married,secondary,hipoteca__deposit,0.0,0
127,35.0,blue-collar,married,primary,hipoteca__deposit,0.0,994
128,35.0,self-employed,divorced,tertiary,hipoteca__deposit,0.0,1354
129,30.0,blue-collar,single,secondary,hipoteca__deposit,0.0,239
130,45.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,-311
131,45.0,admin.,married,secondary,hipoteca__deposit,0.0,149
132,33.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1464
133,44.0,management,divorced,tertiary,deposit,0.0,5773
134,40.0,blue-collar,married,primary,hipoteca__deposit,0.0,278
135,31.0,blue-collar,married,secondary,hipoteca__deposit,0.0,2910
136,30.0,technician,married,tertiary,hipoteca__deposit,0.0,541
137,44.0,technician,divorced,secondary,hipoteca__deposit,0.0,1262
138,34.0,services,married,secondary,hipoteca__deposit,0.0,-538
139,37.0,blue-collar,married,secondary,deposit,0.0,125
140,28.0,self-employed,single,tertiary,hipoteca__deposit,0.0,0
141,32.0,admin.,single,secondary,hipoteca__deposit,0.0,620
142,37.0,blue-collar,divorced,secondary,hipoteca__deposit,0.0,316
143,34.0,management,married,tertiary,hipoteca__deposit,0.0,2287
144,38.0,admin.,divorced,secondary,hipoteca__deposit,0.0,198
145,28.0,admin.,single,secondary,hipoteca__deposit,0.0,460
146,31.0,management,divorced,tertiary,hipoteca__deposit,0.0,1145
147,59.0,services,married,secondary,hipoteca__deposit,0.0,-22
148,24.0,blue-collar,married,secondary,hipoteca__deposit,0.0,685
149,26.0,services,single,secondary,hipoteca__deposit,0.0,901
150,59.0,retired,single,secondary,hipoteca__deposit,0.0,351
151,30.0,entrepreneur,single,primary,hipoteca_credito_deposit,0.0,0
152,37.0,admin.,married,secondary,hipoteca__deposit,0.0,274
153,30.0,admin.,single,secondary,hipoteca_credito_deposit,0.0,-213
154,25.0,blue-collar,married,secondary,hipoteca__deposit,0.0,97
155,44.0,services,divorced,secondary,hipoteca_credito_deposit,0.0,51
156,29.0,management,married,tertiary,deposit,0.0,314
157,26.0,management,single,tertiary,hipoteca__deposit,0.0,6840
158,26.0,technician,single,secondary,hipoteca__deposit,0.0,668
159,27.0,services,single,secondary,hipoteca__deposit,0.0,54
160,25.0,self-employed,single,secondary,hipoteca__deposit,0.0,1242
161,28.0,management,married,secondary,hipoteca__deposit,0.0,292
162,23.0,services,single,secondary,hipoteca__deposit,0.0,665
163,34.0,management,single,tertiary,hipoteca__deposit,0.0,1058
164,28.0,student,single,secondary,hipoteca__deposit,0.0,949
165,51.0,entrepreneur,married,unknown,hipoteca__deposit,0.0,606
166,35.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,0
167,35.0,admin.,married,secondary,hipoteca__deposit,0.0,404
168,56.0,blue-collar,married,secondary,hipoteca__deposit,0.0,249
169,45.0,unemployed,divorced,secondary,hipoteca__deposit,0.0,3354
170,60.0,blue-collar,divorced,secondary,hipoteca__deposit,0.0,0
171,56.0,technician,married,secondary,hipoteca__deposit,0.0,589
172,27.0,management,single,tertiary,hipoteca__deposit,0.0,12956
173,30.0,admin.,married,secondary,hipoteca__deposit,0.0,873
174,45.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,594
175,29.0,blue-collar,single,secondary,hipoteca__deposit,0.0,-20
176,38.0,management,divorced,tertiary,hipoteca__deposit,0.0,4692
177,30.0,blue-collar,married,secondary,hipoteca__deposit,0.0,486
178,44.0,blue-collar,single,primary,hipoteca__deposit,0.0,1593
179,36.0,management,single,tertiary,hipoteca__deposit,0.0,7606
180,38.0,technician,married,secondary,hipoteca__deposit,0.0,226
181,36.0,blue-collar,single,secondary,hipoteca_credito_deposit,0.0,366
182,37.0,management,divorced,secondary,hipoteca__deposit,0.0,16
183,35.0,management,single,tertiary,hipoteca__deposit,0.0,565
184,38.0,admin.,divorced,secondary,hipoteca__deposit,0.0,19
185,40.0,services,married,primary,hipoteca__deposit,0.0,1082
186,42.0,unemployed,divorced,secondary,hipoteca__deposit,0.0,1713
187,46.0,management,divorced,tertiary,hipoteca__deposit,0.0,14481
188,35.0,technician,divorced,secondary,hipoteca__deposit,0.0,5724
189,34.0,technician,divorced,secondary,hipoteca__deposit,0.0,1451
190,32.0,services,married,secondary,hipoteca__deposit,0.0,-34
191,50.0,unemployed,married,secondary,hipoteca__deposit,0.0,3674
192,35.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,698
193,36.0,technician,single,secondary,hipoteca__deposit,0.0,4136
194,53.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,2656
195,46.0,management,single,tertiary,hipoteca__deposit,0.0,2904
196,26.0,management,single,tertiary,hipoteca__deposit,0.0,1004
197,45.0,technician,single,secondary,hipoteca__deposit,0.0,410
198,31.0,unemployed,divorced,primary,hipoteca__deposit,0.0,0
199,29.0,management,single,tertiary,hipoteca__deposit,0.0,0
200,53.0,entrepreneur,single,secondary,hipoteca__deposit,0.0,62
201,27.0,blue-collar,married,primary,hipoteca__deposit,0.0,416
202,39.0,management,married,tertiary,hipoteca__deposit,0.0,2763
203,36.0,services,married,secondary,hipoteca__deposit,0.0,2984
204,41.0,blue-collar,married,primary,hipoteca_credito_deposit,0.0,143
205,36.0,services,married,primary,hipoteca__deposit,0.0,0
206,32.0,technician,married,secondary,hipoteca__deposit,0.0,696
207,35.0,services,married,secondary,hipoteca__deposit,0.0,152
208,36.0,management,single,tertiary,hipoteca__deposit,0.0,-78
209,35.0,management,married,tertiary,hipoteca__deposit,0.0,867
210,30.0,blue-collar,single,secondary,hipoteca__deposit,0.0,953
211,42.0,blue-collar,married,secondary,hipoteca__deposit,0.0,443
212,42.0,technician,single,secondary,hipoteca__deposit,1.0,-1129
213,32.0,blue-collar,married,primary,hipoteca__deposit,0.0,415
214,29.0,blue-collar,single,secondary,hipoteca__deposit,0.0,260
215,44.0,management,divorced,tertiary,hipoteca__deposit,1.0,-411
216,32.0,technician,single,secondary,hipoteca__deposit,0.0,1279
217,31.0,unemployed,married,secondary,hipoteca_credito_deposit,0.0,86
218,40.0,self-employed,married,secondary,hipoteca_credito_deposit,1.0,-754
219,43.0,entrepreneur,married,secondary,deposit,0.0,0
220,27.0,management,single,secondary,hipoteca__deposit,0.0,178
221,37.0,services,single,secondary,hipoteca__deposit,0.0,278
222,23.0,services,single,secondary,hipoteca__deposit,0.0,425
223,25.0,management,married,primary,hipoteca__deposit,0.0,168
224,26.0,blue-collar,single,secondary,hipoteca__deposit,1.0,-36
225,47.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,126
226,35.0,admin.,married,secondary,hipoteca__deposit,0.0,-87
227,32.0,technician,single,tertiary,hipoteca__deposit,0.0,6281
228,45.0,management,divorced,secondary,hipoteca__deposit,0.0,644
229,30.0,admin.,divorced,secondary,hipoteca__deposit,0.0,377
230,29.0,services,single,secondary,hipoteca__deposit,0.0,-271
231,38.0,blue-collar,married,primary,hipoteca__deposit,0.0,5839
232,23.0,blue-collar,single,secondary,hipoteca__deposit,0.0,492
233,27.0,management,single,tertiary,hipoteca__deposit,0.0,99
234,27.0,management,single,tertiary,hipoteca__deposit,1.0,-713
235,29.0,services,single,secondary,hipoteca__deposit,0.0,32
236,30.0,self-employed,married,tertiary,hipoteca_credito_deposit,0.0,543
237,36.0,blue-collar,married,primary,hipoteca__deposit,0.0,403
238,35.0,admin.,divorced,secondary,hipoteca__deposit,0.0,437
239,36.0,blue-collar,married,secondary,deposit,0.0,1772
240,59.0,retired,divorced,primary,hipoteca__deposit,0.0,-88
241,47.0,entrepreneur,married,secondary,deposit,0.0,0
242,58.0,entrepreneur,married,tertiary,deposit,0.0,853
243,37.0,management,single,tertiary,deposit,0.0,240
244,46.0,admin.,single,secondary,hipoteca__deposit,0.0,849
245,43.0,blue-collar,single,secondary,hipoteca__deposit,0.0,318
246,27.0,management,single,tertiary,hipoteca__deposit,0.0,703
247,38.0,services,divorced,secondary,deposit,0.0,61
248,53.0,housemaid,married,primary,credito_deposit,0.0,104
249,47.0,blue-collar,married,secondary,deposit,0.0,1996
250,56.0,housemaid,divorced,primary,deposit,1.0,1238
251,41.0,housemaid,married,secondary,deposit,0.0,879
252,29.0,self-employed,married,secondary,hipoteca__deposit,0.0,425
253,50.0,technician,married,secondary,hipoteca__deposit,0.0,416
254,45.0,blue-collar,divorced,primary,deposit,0.0,844
255,35.0,blue-collar,married,secondary,hipoteca__deposit,0.0,860
256,26.0,technician,single,secondary,hipoteca__deposit,0.0,639
257,26.0,admin.,married,secondary,hipoteca_credito_deposit,0.0,710
258,37.0,blue-collar,married,unknown,credito_deposit,0.0,1508
259,30.0,admin.,single,secondary,hipoteca__deposit,0.0,223
260,38.0,management,single,tertiary,hipoteca__deposit,0.0,619
261,37.0,services,divorced,secondary,hipoteca__deposit,0.0,319
262,53.0,technician,married,secondary,deposit,0.0,480
263,29.0,blue-collar,single,primary,hipoteca__deposit,0.0,213
264,35.0,management,single,tertiary,deposit,0.0,68
265,28.0,blue-collar,married,secondary,hipoteca__deposit,0.0,2788
266,55.0,blue-collar,married,unknown,deposit,0.0,7561
267,49.0,management,divorced,secondary,hipoteca__deposit,0.0,-46
268,50.0,services,married,secondary,deposit,0.0,1595
269,43.0,management,single,tertiary,deposit,0.0,1046
270,58.0,self-employed,divorced,tertiary,deposit,0.0,1382
271,38.0,technician,married,primary,hipoteca__deposit,0.0,217
272,48.0,blue-collar,divorced,primary,deposit,0.0,183
273,59.0,management,married,secondary,deposit,0.0,1321
274,58.0,blue-collar,married,secondary,deposit,0.0,25
275,36.0,self-employed,single,tertiary,deposit,0.0,4844
276,42.0,entrepreneur,married,tertiary,deposit,0.0,5345
277,41.0,admin.,single,secondary,credito_deposit,0.0,812
278,42.0,admin.,married,secondary,deposit,0.0,105
279,39.0,management,married,tertiary,credito_deposit,0.0,-190
280,57.0,housemaid,married,primary,credito_deposit,0.0,625
281,52.0,retired,married,unknown,deposit,0.0,293
282,59.0,retired,married,unknown,deposit,0.0,1033
283,56.0,blue-collar,married,secondary,deposit,0.0,1210
284,49.0,management,married,tertiary,deposit,0.0,64
285,35.0,blue-collar,divorced,unknown,deposit,0.0,164
286,36.0,unemployed,married,secondary,deposit,0.0,1766
287,40.0,admin.,single,tertiary,deposit,0.0,1248
288,55.0,blue-collar,married,secondary,deposit,0.0,0
289,58.0,admin.,married,secondary,deposit,0.0,826
290,39.0,self-employed,married,tertiary,deposit,0.0,2630
291,47.0,housemaid,single,tertiary,deposit,0.0,3727
292,40.0,management,married,secondary,hipoteca__deposit,0.0,406
293,35.0,blue-collar,married,tertiary,deposit,0.0,2999
294,48.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1000
295,48.0,management,divorced,tertiary,credito_deposit,0.0,503
296,24.0,blue-collar,single,secondary,hipoteca__deposit,1.0,-203
297,49.0,blue-collar,married,primary,hipoteca__deposit,0.0,361
298,36.0,blue-collar,married,secondary,hipoteca__deposit,0.0,274
299,52.0,retired,divorced,tertiary,hipoteca_credito_deposit,0.0,3687
300,42.0,entrepreneur,single,unknown,deposit,0.0,323
301,36.0,services,married,secondary,deposit,0.0,981
302,36.0,blue-collar,divorced,secondary,hipoteca__deposit,0.0,638
303,48.0,unemployed,single,tertiary,deposit,0.0,3229
304,51.0,management,single,secondary,hipoteca__deposit,0.0,1610
305,51.0,blue-collar,married,secondary,credito_deposit,0.0,33
306,46.0,technician,married,secondary,hipoteca__deposit,0.0,536
307,37.0,management,married,tertiary,deposit,0.0,0
308,36.0,entrepreneur,married,tertiary,deposit,0.0,3057
309,47.0,management,married,secondary,deposit,0.0,2892
310,40.0,technician,divorced,tertiary,deposit,0.0,0
311,38.0,student,single,tertiary,deposit,0.0,3316
312,40.0,management,married,secondary,deposit,0.0,106
313,39.0,blue-collar,married,primary,deposit,0.0,2303
314,60.0,management,married,tertiary,deposit,0.0,3301
315,39.0,self-employed,single,tertiary,deposit,0.0,426
316,51.0,services,divorced,secondary,deposit,0.0,9
317,27.0,admin.,married,secondary,hipoteca__deposit,0.0,-97
318,41.0,management,single,tertiary,deposit,0.0,11008
319,42.0,blue-collar,single,primary,deposit,0.0,4930
320,41.0,entrepreneur,married,secondary,deposit,0.0,707
321,33.0,technician,married,secondary,hipoteca_credito_deposit,0.0,4
322,46.0,admin.,married,secondary,deposit,0.0,126
323,31.0,blue-collar,married,secondary,hipoteca__deposit,0.0,671
324,41.0,blue-collar,married,primary,credito_deposit,0.0,219
325,41.0,blue-collar,divorced,secondary,deposit,0.0,3622
326,55.0,retired,divorced,secondary,credito_deposit,0.0,1580
327,53.0,technician,married,secondary,deposit,0.0,1319
328,55.0,housemaid,married,primary,deposit,0.0,2152
329,39.0,services,married,secondary,hipoteca__deposit,0.0,2843
330,40.0,entrepreneur,married,tertiary,deposit,1.0,0
331,59.0,retired,married,primary,deposit,0.0,1115
332,42.0,blue-collar,single,secondary,deposit,0.0,625
333,41.0,blue-collar,married,primary,deposit,0.0,246
334,27.0,blue-collar,married,secondary,hipoteca__deposit,0.0,61
335,25.0,blue-collar,single,secondary,hipoteca__deposit,0.0,-191
336,43.0,unemployed,married,primary,deposit,0.0,519
337,44.0,services,married,secondary,credito_deposit,0.0,522
338,26.0,blue-collar,single,secondary,hipoteca__deposit,0.0,-46
339,52.0,retired,married,tertiary,deposit,0.0,2269
340,54.0,services,married,unknown,credito_deposit,0.0,386
341,56.0,management,married,tertiary,credito_deposit,0.0,0
342,57.0,management,married,tertiary,credito_deposit,0.0,9103
343,29.0,blue-collar,single,secondary,hipoteca__deposit,0.0,908
344,47.0,technician,married,tertiary,credito_deposit,0.0,1694
345,57.0,management,married,tertiary,hipoteca_credito_deposit,0.0,-92
346,40.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,188
347,46.0,services,divorced,secondary,deposit,0.0,0
348,43.0,blue-collar,single,secondary,hipoteca__deposit,0.0,740
349,45.0,management,married,tertiary,deposit,0.0,655
350,24.0,management,married,secondary,hipoteca__deposit,0.0,867
351,40.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,1009
352,38.0,services,divorced,unknown,deposit,0.0,6360
353,36.0,unemployed,married,tertiary,deposit,0.0,4145
354,27.0,blue-collar,single,secondary,deposit,1.0,-27
355,26.0,admin.,single,primary,hipoteca__deposit,0.0,-122
356,43.0,management,married,tertiary,hipoteca__deposit,0.0,149
357,25.0,blue-collar,single,primary,hipoteca__deposit,0.0,52
358,27.0,blue-collar,married,tertiary,hipoteca__deposit,0.0,335
359,30.0,technician,married,tertiary,hipoteca_credito_deposit,0.0,526
360,28.0,admin.,single,secondary,credito_deposit,0.0,-7
361,27.0,blue-collar,married,primary,credito_deposit,0.0,-413
362,32.0,admin.,divorced,secondary,credito_deposit,0.0,-241
363,41.0,blue-collar,single,secondary,hipoteca__deposit,0.0,75
364,37.0,technician,single,tertiary,deposit,0.0,0
365,27.0,technician,single,secondary,deposit,0.0,158
366,29.0,services,single,secondary,credito_deposit,0.0,84
367,33.0,services,married,secondary,credito_deposit,0.0,114
368,36.0,technician,married,primary,deposit,0.0,0
369,28.0,blue-collar,single,secondary,hipoteca__deposit,0.0,-127
370,55.0,blue-collar,married,secondary,hipoteca__deposit,0.0,49
371,51.0,technician,married,secondary,deposit,0.0,216
372,39.0,technician,single,secondary,hipoteca__deposit,0.0,506
373,42.0,blue-collar,divorced,primary,hipoteca__deposit,0.0,213
374,33.0,services,single,secondary,deposit,0.0,170
375,36.0,entrepreneur,divorced,tertiary,credito_deposit,0.0,776
376,45.0,technician,married,secondary,deposit,0.0,879
377,37.0,self-employed,married,secondary,deposit,0.0,1633
378,46.0,unemployed,married,secondary,deposit,0.0,926
379,32.0,self-employed,single,tertiary,deposit,0.0,2559
380,28.0,technician,single,secondary,credito_deposit,0.0,909
381,45.0,admin.,divorced,secondary,credito_deposit,0.0,-176
382,41.0,blue-collar,single,secondary,hipoteca_credito_deposit,1.0,1085
383,59.0,blue-collar,divorced,primary,credito_deposit,0.0,1265
384,47.0,technician,single,secondary,hipoteca_credito_deposit,0.0,-239
385,31.0,blue-collar,single,secondary,deposit,0.0,726
386,31.0,management,single,tertiary,credito_deposit,0.0,296
387,33.0,entrepreneur,married,secondary,hipoteca_credito_deposit,0.0,-627
388,52.0,entrepreneur,married,tertiary,deposit,1.0,-468
389,26.0,self-employed,single,secondary,deposit,0.0,551
390,25.0,technician,single,secondary,credito_deposit,0.0,0
391,25.0,blue-collar,married,secondary,credito_deposit,0.0,101
392,28.0,blue-collar,single,secondary,credito_deposit,0.0,517
393,33.0,entrepreneur,divorced,tertiary,credito_deposit,0.0,37
394,45.0,management,divorced,tertiary,credito_deposit,0.0,854
395,36.0,services,married,secondary,credito_deposit,0.0,30
396,26.0,blue-collar,single,secondary,credito_deposit,1.0,81
397,38.0,technician,married,secondary,deposit,0.0,0
398,56.0,blue-collar,single,secondary,credito_deposit,0.0,663
399,26.0,admin.,single,secondary,credito_deposit,0.0,102
400,26.0,technician,married,secondary,credito_deposit,0.0,370
401,25.0,blue-collar,single,secondary,credito_deposit,0.0,189
402,26.0,unemployed,single,secondary,deposit,0.0,111
403,40.0,blue-collar,married,primary,hipoteca__deposit,0.0,665
404,37.0,admin.,married,primary,hipoteca__deposit,0.0,214
405,43.0,blue-collar,single,primary,deposit,0.0,0
406,41.0,services,divorced,tertiary,hipoteca__deposit,0.0,1583
407,49.0,blue-collar,married,secondary,credito_deposit,0.0,0
408,29.0,admin.,divorced,tertiary,credito_deposit,1.0,0
409,39.0,services,divorced,secondary,hipoteca__deposit,0.0,687
410,38.0,management,married,tertiary,hipoteca_credito_deposit,1.0,327
411,26.0,technician,married,secondary,credito_deposit,0.0,-119
412,32.0,management,married,tertiary,hipoteca_credito_deposit,0.0,794
413,33.0,blue-collar,married,primary,hipoteca_credito_deposit,0.0,-191
414,31.0,management,single,tertiary,credito_deposit,0.0,409
415,49.0,blue-collar,married,primary,credito_deposit,0.0,3
416,27.0,unemployed,single,primary,credito_deposit,0.0,9
417,30.0,blue-collar,single,secondary,hipoteca_credito_deposit,0.0,155
418,35.0,blue-collar,married,secondary,deposit,0.0,1330
419,26.0,blue-collar,single,secondary,hipoteca__deposit,0.0,-29
420,45.0,entrepreneur,married,unknown,hipoteca_credito_deposit,0.0,3133
421,34.0,admin.,married,secondary,hipoteca_credito_deposit,0.0,-33
422,28.0,admin.,single,secondary,credito_deposit,0.0,-170
423,25.0,blue-collar,single,secondary,credito_deposit,0.0,1243
424,30.0,blue-collar,single,secondary,hipoteca__deposit,0.0,1598
425,30.0,services,married,secondary,credito_deposit,0.0,5
426,47.0,services,married,secondary,hipoteca__deposit,0.0,367
427,57.0,admin.,divorced,secondary,deposit,0.0,658
428,38.0,management,married,tertiary,hipoteca__deposit,0.0,1722
429,54.0,technician,married,secondary,credito_deposit,0.0,-315
430,25.0,blue-collar,single,primary,deposit,0.0,2483
431,30.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,0
432,26.0,management,single,tertiary,deposit,0.0,45
433,31.0,student,married,primary,hipoteca__deposit,0.0,46
434,29.0,blue-collar,single,secondary,credito_deposit,0.0,482
435,49.0,blue-collar,married,secondary,hipoteca__deposit,0.0,3728
436,60.0,retired,divorced,secondary,deposit,0.0,1099
437,60.0,management,married,tertiary,hipoteca__deposit,0.0,2222
438,29.0,management,single,tertiary,hipoteca__deposit,0.0,983
439,55.0,management,divorced,secondary,hipoteca__deposit,0.0,204
440,44.0,admin.,married,secondary,hipoteca__deposit,0.0,1074
441,47.0,technician,married,secondary,hipoteca__deposit,0.0,3466
