id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,date
94,31,admin.,married,secondary,False,97,True,False,unknown,19,May,607,1,-1,0,unknown,True,2024-05-19
95,31,blue-collar,married,secondary,False,754,True,False,unknown,19,May,1022,4,-1,0,unknown,True,2024-05-19
96,43,services,divorced,secondary,False,1040,True,False,unknown,19,May,552,3,-1,0,unknown,True,2024-05-19
97,37,management,divorced,tertiary,False,122,True,False,unknown,19,May,1622,2,-1,0,unknown,True,2024-05-19
98,30,technician,single,tertiary,False,880,True,True,unknown,19,May,967,6,-1,0,unknown,True,2024-05-19
99,41,technician,married,secondary,False,501,True,False,unknown,19,May,579,5,-1,0,unknown,True,2024-05-19
100,36,blue-collar,married,secondary,False,4438,True,False,unknown,20,May,446,1,-1,0,unknown,True,2024-05-20
101,35,blue-collar,divorced,secondary,False,0,True,False,unknown,20,May,1205,1,-1,0,unknown,True,2024-05-20
102,29,services,single,secondary,False,271,True,False,unknown,20,May,1882,2,-1,0,unknown,True,2024-05-20
103,35,blue-collar,married,primary,False,102,True,False,unknown,20,May,1334,1,-1,0,unknown,True,2024-05-20
104,31,blue-collar,married,secondary,False,2,True,False,unknown,20,May,182,2,-1,0,unknown,True,2024-05-20
105,35,services,married,secondary,False,4170,True,False,unknown,20,May,1777,1,-1,0,unknown,True,2024-05-20
106,34,technician,single,secondary,False,85,True,False,unknown,20,May,1182,4,-1,0,unknown,True,2024-05-20
107,31,admin.,single,secondary,False,431,True,True,unknown,20,May,1045,1,-1,0,unknown,True,2024-05-20
108,44,technician,divorced,secondary,False,982,True,False,unknown,20,May,650,3,-1,0,unknown,True,2024-05-20
109,36,blue-collar,married,primary,False,408,True,True,unknown,20,May,1063,2,-1,0,unknown,True,2024-05-20
110,35,blue-collar,married,unknown,False,4822,True,False,unknown,20,May,843,2,-1,0,unknown,True,2024-05-20
111,41,blue-collar,married,primary,False,1250,True,False,unknown,20,May,1392,2,-1,0,unknown,True,2024-05-20
112,31,blue-collar,single,primary,False,216,True,False,unknown,21,May,565,1,-1,0,unknown,True,2024-05-21
113,34,blue-collar,married,secondary,False,1207,True,False,unknown,21,May,905,1,-1,0,unknown,True,2024-05-21
114,32,technician,married,secondary,False,791,True,False,unknown,21,May,783,2,-1,0,unknown,True,2024-05-21
115,36,management,married,tertiary,False,849,True,True,unknown,21,May,958,2,-1,0,unknown,True,2024-05-21
116,30,blue-collar,single,secondary,True,239,True,False,unknown,21,May,412,1,-1,0,unknown,True,2024-05-21
117,37,technician,single,secondary,False,1211,True,False,unknown,21,May,795,1,-1,0,unknown,True,2024-05-21
118,36,blue-collar,married,primary,False,599,True,False,unknown,21,May,649,2,-1,0,unknown,True,2024-05-21
119,31,management,single,tertiary,False,825,True,False,unknown,21,May,506,2,-1,0,unknown,True,2024-05-21
120,27,technician,married,secondary,False,2183,True,True,unknown,21,May,857,1,-1,0,unknown,True,2024-05-21
121,34,retired,married,primary,False,4499,False,False,unknown,21,May,1681,1,-1,0,unknown,True,2024-05-21
122,30,technician,single,tertiary,False,1289,True,False,unknown,21,May,1697,2,-1,0,unknown,True,2024-05-21
123,32,technician,single,tertiary,False,4665,True,False,unknown,21,May,860,2,-1,0,unknown,True,2024-05-21
124,37,technician,single,secondary,False,3326,True,False,unknown,21,May,799,1,-1,0,unknown,True,2024-05-21
125,32,blue-collar,married,secondary,False,783,True,False,unknown,21,May,923,3,-1,0,unknown,True,2024-05-21
126,33,blue-collar,married,secondary,False,0,True,False,unknown,21,May,521,3,-1,0,unknown,True,2024-05-21
127,35,blue-collar,married,primary,False,994,True,False,unknown,23,May,1349,8,-1,0,unknown,True,2024-05-23
128,35,self-employed,divorced,tertiary,False,1354,True,False,unknown,23,May,736,2,-1,0,unknown,True,2024-05-23
129,30,blue-collar,single,secondary,False,239,True,False,unknown,23,May,785,1,-1,0,unknown,True,2024-05-23
130,45,blue-collar,divorced,primary,False,-311,True,False,unknown,23,May,1030,1,-1,0,unknown,True,2024-05-23
131,45,admin.,married,secondary,False,149,True,False,unknown,23,May,893,3,-1,0,unknown,True,2024-05-23
132,33,blue-collar,married,secondary,False,1464,True,False,unknown,23,May,588,3,-1,0,unknown,True,2024-05-23
133,44,management,divorced,tertiary,False,5773,False,False,unknown,23,May,597,6,-1,0,unknown,True,2024-05-23
134,40,blue-collar,married,primary,False,278,True,False,unknown,23,May,1015,3,-1,0,unknown,True,2024-05-23
135,31,blue-collar,married,secondary,False,2910,True,False,unknown,23,May,1392,2,-1,0,unknown,True,2024-05-23
136,30,technician,married,tertiary,False,541,True,False,unknown,26,May,414,2,-1,0,unknown,True,2024-05-26
137,44,technician,divorced,secondary,False,1262,True,False,unknown,26,May,788,11,-1,0,unknown,True,2024-05-26
138,34,services,married,secondary,False,-538,True,False,unknown,26,May,682,1,-1,0,unknown,True,2024-05-26
139,37,blue-collar,married,secondary,False,125,False,False,unknown,26,May,679,2,-1,0,unknown,True,2024-05-26
140,28,self-employed,single,tertiary,False,0,True,False,unknown,26,May,1560,2,-1,0,unknown,True,2024-05-26
141,32,admin.,single,secondary,False,620,True,False,unknown,26,May,1234,3,-1,0,unknown,True,2024-05-26
142,37,blue-collar,divorced,secondary,False,316,True,False,unknown,26,May,642,2,-1,0,unknown,True,2024-05-26
143,34,management,married,tertiary,False,2287,True,False,unknown,26,May,895,4,-1,0,unknown,True,2024-05-26
144,38,admin.,divorced,secondary,False,198,True,False,unknown,26,May,431,2,-1,0,unknown,True,2024-05-26
145,28,admin.,single,secondary,False,460,True,False,unknown,26,May,741,6,-1,0,unknown,True,2024-05-26
146,31,management,divorced,tertiary,False,1145,True,False,unknown,26,May,1272,4,-1,0,unknown,True,2024-05-26
147,59,services,married,secondary,False,-22,True,False,unknown,26,May,748,3,-1,0,unknown,True,2024-05-26
148,24,blue-collar,married,secondary,False,685,True,False,unknown,26,May,896,3,-1,0,unknown,True,2024-05-26
149,26,services,single,secondary,False,901,True,False,unknown,26,May,764,2,-1,0,unknown,True,2024-05-26
150,59,retired,single,secondary,False,351,True,False,unknown,27,May,1063,5,-1,0,unknown,True,2024-05-27
151,30,entrepreneur,single,primary,False,0,True,True,unknown,27,May,1051,1,-1,0,unknown,True,2024-05-27
152,37,admin.,married,secondary,False,274,True,False,unknown,27,May,731,3,-1,0,unknown,True,2024-05-27
153,30,admin.,single,secondary,False,-213,True,True,unknown,27,May,751,1,-1,0,unknown,True,2024-05-27
154,25,blue-collar,married,secondary,False,97,True,False,unknown,27,May,709,1,-1,0,unknown,True,2024-05-27
155,44,services,divorced,secondary,False,51,True,True,unknown,27,May,3094,2,-1,0,unknown,True,2024-05-27
156,29,management,married,tertiary,False,314,False,False,unknown,28,May,938,2,-1,0,unknown,True,2024-05-28
157,26,management,single,tertiary,False,6840,True,False,unknown,28,May,1560,2,-1,0,unknown,True,2024-05-28
158,26,technician,single,secondary,False,668,True,False,unknown,28,May,576,3,-1,0,unknown,True,2024-05-28
159,27,services,single,secondary,False,54,True,False,unknown,28,May,543,2,-1,0,unknown,True,2024-05-28
160,25,self-employed,single,secondary,False,1242,True,False,unknown,28,May,615,2,-1,0,unknown,True,2024-05-28
161,28,management,married,secondary,False,292,True,False,unknown,28,May,507,1,-1,0,unknown,True,2024-05-28
162,23,services,single,secondary,False,665,True,False,unknown,28,May,1183,1,-1,0,unknown,True,2024-05-28
163,34,management,single,tertiary,False,1058,True,False,unknown,28,May,864,2,-1,0,unknown,True,2024-05-28
164,28,student,single,secondary,False,949,True,False,unknown,28,May,1730,1,-1,0,unknown,True,2024-05-28
165,51,entrepreneur,married,unknown,False,606,True,False,unknown,28,May,560,9,-1,0,unknown,True,2024-05-28
166,35,blue-collar,married,secondary,False,0,True,True,unknown,29,May,543,1,-1,0,unknown,True,2024-05-29
167,35,admin.,married,secondary,False,404,True,False,unknown,29,May,539,1,-1,0,unknown,True,2024-05-29
168,56,blue-collar,married,secondary,False,249,True,False,unknown,29,May,791,2,-1,0,unknown,True,2024-05-29
169,45,unemployed,divorced,secondary,False,3354,True,False,unknown,29,May,746,1,-1,0,unknown,True,2024-05-29
170,60,blue-collar,divorced,secondary,False,0,True,False,unknown,29,May,1207,1,-1,0,unknown,True,2024-05-29
171,56,technician,married,secondary,False,589,True,False,unknown,29,May,535,2,-1,0,unknown,True,2024-05-29
172,27,management,single,tertiary,False,12956,True,False,unknown,29,May,789,3,-1,0,unknown,True,2024-05-29
173,30,admin.,married,secondary,False,873,True,False,unknown,29,May,792,3,-1,0,unknown,True,2024-05-29
174,45,blue-collar,divorced,primary,False,594,True,False,unknown,29,May,833,2,-1,0,unknown,True,2024-05-29
175,29,blue-collar,single,secondary,False,-20,True,False,unknown,29,May,814,2,-1,0,unknown,True,2024-05-29
176,38,management,divorced,tertiary,False,4692,True,False,unknown,29,May,1363,2,-1,0,unknown,True,2024-05-29
177,30,blue-collar,married,secondary,False,486,True,False,unknown,29,May,1109,3,-1,0,unknown,True,2024-05-29
178,44,blue-collar,single,primary,False,1593,True,False,unknown,29,May,828,3,-1,0,unknown,True,2024-05-29
179,36,management,single,tertiary,False,7606,True,False,unknown,30,May,917,1,-1,0,unknown,True,2024-05-30
180,38,technician,married,secondary,False,226,True,False,unknown,30,May,762,3,-1,0,unknown,True,2024-05-30
181,36,blue-collar,single,secondary,False,366,True,True,unknown,30,May,1133,2,-1,0,unknown,True,2024-05-30
182,37,management,divorced,secondary,False,16,True,False,unknown,30,May,638,1,-1,0,unknown,True,2024-05-30
183,35,management,single,tertiary,False,565,True,False,unknown,30,May,763,1,-1,0,unknown,True,2024-05-30
184,38,admin.,divorced,secondary,False,19,True,False,unknown,30,May,604,2,-1,0,unknown,True,2024-05-30
185,40,services,married,primary,False,1082,True,False,unknown,30,May,854,2,-1,0,unknown,True,2024-05-30
186,42,unemployed,divorced,secondary,False,1713,True,False,unknown,30,May,855,2,-1,0,unknown,True,2024-05-30
187,46,management,divorced,tertiary,False,14481,True,False,unknown,30,May,1269,1,-1,0,unknown,True,2024-05-30
188,35,technician,divorced,secondary,False,5724,True,False,unknown,30,May,691,10,-1,0,unknown,True,2024-05-30
189,34,technician,divorced,secondary,False,1451,True,False,unknown,30,May,1097,15,-1,0,unknown,True,2024-05-30
190,32,services,married,secondary,False,-34,True,False,unknown,30,May,1236,2,-1,0,unknown,True,2024-05-30
191,50,unemployed,married,secondary,False,3674,True,False,unknown,30,May,886,3,-1,0,unknown,True,2024-05-30
192,35,blue-collar,married,secondary,False,698,True,True,unknown,30,May,1343,3,-1,0,unknown,True,2024-05-30
193,36,technician,single,secondary,False,4136,True,False,unknown,30,May,812,3,-1,0,unknown,True,2024-05-30
194,53,blue-collar,divorced,primary,False,2656,True,False,unknown,30,May,1980,2,-1,0,unknown,True,2024-05-30
195,46,management,single,tertiary,False,2904,True,False,unknown,30,May,984,2,-1,0,unknown,True,2024-05-30
196,26,management,single,tertiary,False,1004,True,False,unknown,30,May,228,2,-1,0,unknown,True,2024-05-30
197,45,technician,single,secondary,False,410,True,False,unknown,30,May,891,4,-1,0,unknown,True,2024-05-30
198,31,unemployed,divorced,primary,False,0,True,False,unknown,30,May,745,12,-1,0,unknown,True,2024-05-30
199,29,management,single,tertiary,False,0,True,False,unknown,30,May,539,12,-1,0,unknown,True,2024-05-30
200,53,entrepreneur,single,secondary,False,62,True,False,unknown,30,May,1044,5,-1,0,unknown,True,2024-05-30
201,27,blue-collar,married,primary,False,416,True,False,unknown,30,May,1193,2,-1,0,unknown,True,2024-05-30
202,39,management,married,tertiary,False,2763,True,False,unknown,2,Jun,526,2,-1,0,unknown,True,2024-06-02
203,36,services,married,secondary,False,2984,True,False,unknown,2,Jun,394,1,-1,0,unknown,True,2024-06-02
204,41,blue-collar,married,primary,False,143,True,True,unknown,2,Jun,659,2,-1,0,unknown,True,2024-06-02
205,36,services,married,primary,False,0,True,False,unknown,2,Jun,1036,1,-1,0,unknown,True,2024-06-02
206,32,technician,married,secondary,False,696,True,False,unknown,2,Jun,815,1,-1,0,unknown,True,2024-06-02
207,35,services,married,secondary,False,152,True,False,unknown,2,Jun,563,1,-1,0,unknown,True,2024-06-02
208,36,management,single,tertiary,False,-78,True,False,unknown,2,Jun,1068,1,-1,0,unknown,True,2024-06-02
209,35,management,married,tertiary,False,867,True,False,unknown,2,Jun,230,3,-1,0,unknown,True,2024-06-02
210,30,blue-collar,single,secondary,False,953,True,False,unknown,2,Jun,747,2,-1,0,unknown,True,2024-06-02
211,42,blue-collar,married,secondary,False,443,True,False,unknown,2,Jun,671,5,-1,0,unknown,True,2024-06-02
212,42,technician,single,secondary,True,-1129,True,False,unknown,2,Jun,555,5,-1,0,unknown,True,2024-06-02
213,32,blue-collar,married,primary,False,415,True,False,unknown,2,Jun,777,4,-1,0,unknown,True,2024-06-02
214,29,blue-collar,single,secondary,False,260,True,False,unknown,2,Jun,707,14,-1,0,unknown,True,2024-06-02
215,44,management,divorced,tertiary,True,-411,True,False,unknown,2,Jun,432,4,-1,0,unknown,True,2024-06-02
216,32,technician,single,secondary,False,1279,True,False,unknown,3,Jun,1173,3,-1,0,unknown,True,2024-06-03
217,31,unemployed,married,secondary,False,86,True,True,unknown,3,Jun,963,2,-1,0,unknown,True,2024-06-03
218,40,self-employed,married,secondary,True,-754,True,True,unknown,3,Jun,941,3,-1,0,unknown,True,2024-06-03
219,43,entrepreneur,married,secondary,False,0,False,False,unknown,3,Jun,1025,7,-1,0,unknown,True,2024-06-03
220,27,management,single,secondary,False,178,True,False,unknown,3,Jun,732,2,-1,0,unknown,True,2024-06-03
221,37,services,single,secondary,False,278,True,False,unknown,3,Jun,1045,3,-1,0,unknown,True,2024-06-03
222,23,services,single,secondary,False,425,True,False,unknown,3,Jun,768,1,-1,0,unknown,True,2024-06-03
223,25,management,married,primary,False,168,True,False,unknown,3,Jun,801,1,-1,0,unknown,True,2024-06-03
224,26,blue-collar,single,secondary,True,-36,True,False,unknown,3,Jun,482,2,-1,0,unknown,True,2024-06-03
225,47,blue-collar,divorced,primary,False,126,True,False,unknown,3,Jun,2456,2,-1,0,unknown,True,2024-06-03
226,35,admin.,married,secondary,False,-87,True,False,unknown,3,Jun,1363,7,-1,0,unknown,True,2024-06-03
227,32,technician,single,tertiary,False,6281,True,False,unknown,3,Jun,1336,4,-1,0,unknown,True,2024-06-03
228,45,management,divorced,secondary,False,644,True,False,unknown,4,Jun,633,1,-1,0,unknown,True,2024-06-04
229,30,admin.,divorced,secondary,False,377,True,False,unknown,4,Jun,524,15,-1,0,unknown,True,2024-06-04
230,29,services,single,secondary,False,-271,True,False,unknown,4,Jun,578,1,-1,0,unknown,True,2024-06-04
231,38,blue-collar,married,primary,False,5839,True,False,unknown,4,Jun,984,2,-1,0,unknown,True,2024-06-04
232,23,blue-collar,single,secondary,False,492,True,False,unknown,4,Jun,638,1,-1,0,unknown,True,2024-06-04
233,27,management,single,tertiary,False,99,True,False,unknown,4,Jun,767,2,-1,0,unknown,True,2024-06-04
234,27,management,single,tertiary,True,-713,True,False,unknown,4,Jun,525,2,-1,0,unknown,True,2024-06-04
235,29,services,single,secondary,False,32,True,False,unknown,4,Jun,563,1,-1,0,unknown,True,2024-06-04
236,30,self-employed,married,tertiary,False,543,True,True,unknown,4,Jun,1449,6,-1,0,unknown,True,2024-06-04
237,36,blue-collar,married,primary,False,403,True,False,unknown,4,Jun,920,1,-1,0,unknown,True,2024-06-04
238,35,admin.,divorced,secondary,False,437,True,False,unknown,4,Jun,908,1,-1,0,unknown,True,2024-06-04
239,36,blue-collar,married,secondary,False,1772,False,False,unknown,5,Jun,208,1,-1,0,unknown,True,2024-06-05
240,59,retired,divorced,primary,False,-88,True,False,unknown,5,Jun,910,2,-1,0,unknown,True,2024-06-05
241,47,entrepreneur,married,secondary,False,0,False,False,unknown,5,Jun,1446,1,-1,0,unknown,True,2024-06-05
242,58,entrepreneur,married,tertiary,False,853,False,False,unknown,5,Jun,1149,2,-1,0,unknown,True,2024-06-05
243,37,management,single,tertiary,False,240,False,False,unknown,5,Jun,1123,1,-1,0,unknown,True,2024-06-05
244,46,admin.,single,secondary,False,849,True,False,unknown,5,Jun,508,2,-1,0,unknown,True,2024-06-05
245,43,blue-collar,single,secondary,False,318,True,False,unknown,5,Jun,736,2,-1,0,unknown,True,2024-06-05
246,27,management,single,tertiary,False,703,True,False,unknown,5,Jun,590,3,-1,0,unknown,True,2024-06-05
247,38,services,divorced,secondary,False,61,False,False,unknown,5,Jun,636,1,-1,0,unknown,True,2024-06-05
248,53,housemaid,married,primary,False,104,False,True,unknown,5,Jun,701,1,-1,0,unknown,True,2024-06-05
249,47,blue-collar,married,secondary,False,1996,False,False,unknown,5,Jun,761,2,-1,0,unknown,True,2024-06-05
250,56,housemaid,divorced,primary,True,1238,False,False,unknown,5,Jun,1558,1,-1,0,unknown,True,2024-06-05
251,41,housemaid,married,secondary,False,879,False,False,unknown,5,Jun,1053,2,-1,0,unknown,True,2024-06-05
252,29,self-employed,married,secondary,False,425,True,False,unknown,5,Jun,562,15,-1,0,unknown,True,2024-06-05
253,50,technician,married,secondary,False,416,True,False,unknown,5,Jun,494,5,-1,0,unknown,True,2024-06-05
254,45,blue-collar,divorced,primary,False,844,False,False,unknown,5,Jun,1018,3,-1,0,unknown,True,2024-06-05
255,35,blue-collar,married,secondary,False,860,True,False,unknown,5,Jun,884,4,-1,0,unknown,True,2024-06-05
256,26,technician,single,secondary,False,639,True,False,unknown,6,Jun,709,5,-1,0,unknown,True,2024-06-06
257,26,admin.,married,secondary,False,710,True,True,unknown,6,Jun,1276,2,-1,0,unknown,True,2024-06-06
258,37,blue-collar,married,unknown,False,1508,False,True,unknown,6,Jun,381,2,-1,0,unknown,True,2024-06-06
