"age";"job";"marital";"education";"balance";"housing";"deposit"
37;"technician";"single";"secondary";3326;"yes";"yes"
32;"blue-collar";"married";"secondary";783;"yes";"yes"
33;"blue-collar";"married";"secondary";0;"yes";"yes"
35;"blue-collar";"married";"primary";994;"yes";"yes"
35;"self-employed";"divorced";"tertiary";1354;"yes";"yes"
30;"blue-collar";"single";"secondary";239;"yes";"yes"
45;"blue-collar";"divorced";"primary";-311;"yes";"yes"
45;"admin";"married";"secondary";149;"yes";"yes"
33;"blue-collar";"married";"secondary";1464;"yes";"yes"
44;"management";"divorced";"tertiary";5773;"no";"yes"
40;"blue-collar";"married";"primary";278;"yes";"yes"
31;"blue-collar";"married";"secondary";2910;"yes";"yes"
30;"technician";"married";"tertiary";541;"yes";"yes"
44;"technician";"divorced";"secondary";1262;"yes";"yes"
34;"services";"married";"secondary";-538;"yes";"yes"
37;"blue-collar";"married";"secondary";125;"no";"yes"
28;"self-employed";"single";"tertiary";0;"yes";"yes"
32;"admin";"single";"secondary";620;"yes";"yes"
37;"blue-collar";"divorced";"secondary";316;"yes";"yes"
34;"management";"married";"tertiary";2287;"yes";"yes"
38;"admin";"divorced";"secondary";198;"yes";"yes"
28;"admin";"single";"secondary";460;"yes";"yes"
31;"management";"divorced";"tertiary";1145;"yes";"yes"
59;"services";"married";"secondary";-22;"yes";"yes"
24;"blue-collar";"married";"secondary";685;"yes";"yes"
26;"services";"single";"secondary";901;"yes";"yes"
59;"retired";"single";"secondary";351;"yes";"yes"
30;"entrepreneur";"single";"primary";0;"yes";"yes"
37;"admin";"married";"secondary";274;"yes";"yes"
30;"admin";"single";"secondary";-213;"yes";"yes"
25;"blue-collar";"married";"secondary";97;"yes";"yes"
44;"services";"divorced";"secondary";51;"yes";"yes"
29;"management";"married";"tertiary";314;"no";"yes"
26;"management";"single";"tertiary";6840;"yes";"yes"
26;"technician";"single";"secondary";668;"yes";"yes"
27;"services";"single";"secondary";54;"yes";"yes"
25;"self-employed";"single";"secondary";1242;"yes";"yes"
28;"management";"married";"secondary";292;"yes";"yes"
23;"services";"single";"secondary";665;"yes";"yes"
34;"management";"single";"tertiary";1058;"yes";"yes"
28;"student";"single";"secondary";949;"yes";"yes"
35;"blue-collar";"married";"secondary";0;"yes";"yes"
35;"admin";"married";"secondary";404;"yes";"yes"
56;"blue-collar";"married";"secondary";249;"yes";"yes"
45;"unemployed";"divorced";"secondary";3354;"yes";"yes"
60;"blue-collar";"divorced";"secondary";0;"yes";"yes"
56;"technician";"married";"secondary";589;"yes";"yes"
27;"management";"single";"tertiary";12956;"yes";"yes"
30;"admin";"married";"secondary";873;"yes";"yes"
45;"blue-collar";"divorced";"primary";594;"yes";"yes"
29;"blue-collar";"single";"secondary";-20;"yes";"yes"
38;"management";"divorced";"tertiary";4692;"yes";"yes"
30;"blue-collar";"married";"secondary";486;"yes";"yes"
44;"blue-collar";"single";"primary";1593;"yes";"yes"
36;"management";"single";"tertiary";7606;"yes";"yes"
38;"technician";"married";"secondary";226;"yes";"yes"
36;"blue-collar";"single";"secondary";366;"yes";"yes"
37;"management";"divorced";"secondary";16;"yes";"yes"
35;"management";"single";"tertiary";565;"yes";"yes"
38;"admin";"divorced";"secondary";19;"yes";"yes"
40;"services";"married";"primary";1082;"yes";"yes"
42;"unemployed";"divorced";"secondary";1713;"yes";"yes"
46;"management";"divorced";"tertiary";14481;"yes";"yes"
35;"technician";"divorced";"secondary";5724;"yes";"yes"
34;"technician";"divorced";"secondary";1451;"yes";"yes"
32;"services";"married";"secondary";-34;"yes";"yes"
50;"unemployed";"married";"secondary";3674;"yes";"yes"
35;"blue-collar";"married";"secondary";698;"yes";"yes"
36;"technician";"single";"secondary";4136;"yes";"yes"
53;"blue-collar";"divorced";"primary";2656;"yes";"yes"
46;"management";"single";"tertiary";2904;"yes";"yes"
26;"management";"single";"tertiary";1004;"yes";"yes"
45;"technician";"single";"secondary";410;"yes";"yes"
31;"unemployed";"divorced";"primary";0;"yes";"yes"
29;"management";"single";"tertiary";0;"yes";"yes"
53;"entrepreneur";"single";"secondary";62;"yes";"yes"
27;"blue-collar";"married";"primary";416;"yes";"yes"
39;"management";"married";"tertiary";2763;"yes";"yes"
36;"services";"married";"secondary";2984;"yes";"yes"
41;"blue-collar";"married";"primary";143;"yes";"yes"
36;"services";"married";"primary";0;"yes";"yes"
32;"technician";"married";"secondary";696;"yes";"yes"
35;"services";"married";"secondary";152;"yes";"yes"
36;"management";"single";"tertiary";-78;"yes";"yes"
35;"management";"married";"tertiary";867;"yes";"yes"
30;"blue-collar";"single";"secondary";953;"yes";"yes"
42;"blue-collar";"married";"secondary";443;"yes";"yes"
42;"technician";"single";"secondary";-1129;"yes";"yes"
32;"blue-collar";"married";"primary";415;"yes";"yes"
29;"blue-collar";"single";"secondary";260;"yes";"yes"
44;"management";"divorced";"tertiary";-411;"yes";"yes"
32;"technician";"single";"secondary";1279;"yes";"yes"
31;"unemployed";"married";"secondary";86;"yes";"yes"
40;"self-employed";"married";"secondary";-754;"yes";"yes"
43;"entrepreneur";"married";"secondary";0;"no";"yes"
27;"management";"single";"secondary";178;"yes";"yes"
37;"services";"single";"secondary";278;"yes";"yes"
23;"services";"single";"secondary";425;"yes";"yes"
25;"management";"married";"primary";168;"yes";"yes"
26;"blue-collar";"single";"secondary";-36;"yes";"yes"
47;"blue-collar";"divorced";"primary";126;"yes";"yes"
35;"admin";"married";"secondary";-87;"yes";"yes"
32;"technician";"single";"tertiary";6281;"yes";"yes"
45;"management";"divorced";"secondary";644;"yes";"yes"
30;"admin";"divorced";"secondary";377;"yes";"yes"
29;"services";"single";"secondary";-271;"yes";"yes"
38;"blue-collar";"married";"primary";5839;"yes";"yes"
23;"blue-collar";"single";"secondary";492;"yes";"yes"
27;"management";"single";"tertiary";99;"yes";"yes"
27;"management";"single";"tertiary";-713;"yes";"yes"
29;"services";"single";"secondary";32;"yes";"yes"
30;"self-employed";"married";"tertiary";543;"yes";"yes"
36;"blue-collar";"married";"primary";403;"yes";"yes"
35;"admin";"divorced";"secondary";437;"yes";"yes"
36;"blue-collar";"married";"secondary";1772;"no";"yes"
59;"retired";"divorced";"primary";-88;"yes";"yes"
47;"entrepreneur";"married";"secondary";0;"no";"yes"
58;"entrepreneur";"married";"tertiary";853;"no";"yes"
37;"management";"single";"tertiary";240;"no";"yes"
46;"admin";"single";"secondary";849;"yes";"yes"
43;"blue-collar";"single";"secondary";318;"yes";"yes"
27;"management";"single";"tertiary";703;"yes";"yes"
38;"services";"divorced";"secondary";61;"no";"yes"
53;"housemaid";"married";"primary";104;"no";"yes"
47;"blue-collar";"married";"secondary";1996;"no";"yes"
56;"housemaid";"divorced";"primary";1238;"no";"yes"
41;"housemaid";"married";"secondary";879;"no";"yes"
29;"self-employed";"married";"secondary";425;"yes";"yes"
50;"technician";"married";"secondary";416;"yes";"yes"
45;"blue-collar";"divorced";"primary";844;"no";"yes"
35;"blue-collar";"married";"secondary";860;"yes";"yes"
26;"technician";"single";"secondary";639;"yes";"yes"
26;"admin";"married";"secondary";710;"yes";"yes"
30;"admin";"single";"secondary";223;"yes";"yes"
38;"management";"single";"tertiary";619;"yes";"yes"
37;"services";"divorced";"secondary";319;"yes";"yes"
53;"technician";"married";"secondary";480;"no";"yes"
29;"blue-collar";"single";"primary";213;"yes";"yes"
35;"management";"single";"tertiary";68;"no";"yes"
28;"blue-collar";"married";"secondary";2788;"yes";"yes"
49;"management";"divorced";"secondary";-46;"yes";"yes"
50;"services";"married";"secondary";1595;"no";"yes"
43;"management";"single";"tertiary";1046;"no";"yes"
58;"self-employed";"divorced";"tertiary";1382;"no";"yes"
38;"technician";"married";"primary";217;"yes";"yes"
48;"blue-collar";"divorced";"primary";183;"no";"yes"
59;"management";"married";"secondary";1321;"no";"yes"
58;"blue-collar";"married";"secondary";25;"no";"yes"
36;"self-employed";"single";"tertiary";4844;"no";"yes"
42;"entrepreneur";"married";"tertiary";5345;"no";"yes"
41;"admin";"single";"secondary";812;"no";"yes"
42;"admin";"married";"secondary";105;"no";"yes"
39;"management";"married";"tertiary";-190;"no";"yes"
57;"housemaid";"married";"primary";625;"no";"yes"
56;"blue-collar";"married";"secondary";1210;"no";"yes"
49;"management";"married";"tertiary";64;"no";"yes"
36;"unemployed";"married";"secondary";1766;"no";"yes"
40;"admin";"single";"tertiary";1248;"no";"yes"
55;"blue-collar";"married";"secondary";0;"no";"yes"
58;"admin";"married";"secondary";826;"no";"yes"
39;"self-employed";"married";"tertiary";2630;"no";"yes"
47;"housemaid";"single";"tertiary";3727;"no";"yes"
40;"management";"married";"secondary";406;"yes";"yes"
35;"blue-collar";"married";"tertiary";2999;"no";"yes"
48;"blue-collar";"married";"secondary";1000;"yes";"yes"
48;"management";"divorced";"tertiary";503;"no";"yes"
24;"blue-collar";"single";"secondary";-203;"yes";"yes"
49;"blue-collar";"married";"primary";361;"yes";"yes"
36;"blue-collar";"married";"secondary";274;"yes";"yes"
52;"retired";"divorced";"tertiary";3687;"yes";"yes"
36;"services";"married";"secondary";981;"no";"yes"
36;"blue-collar";"divorced";"secondary";638;"yes";"yes"
48;"unemployed";"single";"tertiary";3229;"no";"yes"
51;"management";"single";"secondary";1610;"yes";"yes"
51;"blue-collar";"married";"secondary";33;"no";"yes"
46;"technician";"married";"secondary";536;"yes";"yes"
37;"management";"married";"tertiary";0;"no";"yes"
36;"entrepreneur";"married";"tertiary";3057;"no";"yes"
47;"management";"married";"secondary";2892;"no";"yes"
40;"technician";"divorced";"tertiary";0;"no";"yes"
38;"student";"single";"tertiary";3316;"no";"yes"
40;"management";"married";"secondary";106;"no";"yes"
39;"blue-collar";"married";"primary";2303;"yes";"yes"
60;"management";"married";"tertiary";3301;"no";"yes"
39;"self-employed";"single";"tertiary";426;"no";"yes"
51;"services";"divorced";"secondary";9;"no";"yes"
27;"admin";"married";"secondary";-97;"yes";"yes"
41;"management";"single";"tertiary";11008;"no";"yes"
42;"blue-collar";"single";"primary";4930;"no";"yes"
41;"entrepreneur";"married";"secondary";707;"no";"yes"
33;"technician";"married";"secondary";4;"yes";"yes"
46;"admin";"married";"secondary";126;"no";"yes"
31;"blue-collar";"married";"secondary";671;"yes";"yes"
41;"blue-collar";"married";"primary";219;"no";"yes"
41;"blue-collar";"divorced";"secondary";3622;"no";"yes"
55;"retired";"divorced";"secondary";1580;"no";"yes"
53;"technician";"married";"secondary";1319;"no";"yes"
55;"housemaid";"married";"primary";2152;"no";"yes"
39;"services";"married";"secondary";2843;"yes";"yes"
40;"entrepreneur";"married";"tertiary";0;"no";"yes"
59;"retired";"married";"primary";1115;"no";"yes"
42;"blue-collar";"single";"secondary";625;"no";"yes"
41;"blue-collar";"married";"primary";246;"no";"yes"
27;"blue-collar";"married";"secondary";61;"yes";"yes"
25;"blue-collar";"single";"secondary";-191;"yes";"yes"
43;"unemployed";"married";"primary";519;"no";"yes"
44;"services";"married";"secondary";522;"no";"yes"
26;"blue-collar";"single";"secondary";-46;"yes";"yes"
52;"retired";"married";"tertiary";2269;"no";"yes"
56;"management";"married";"tertiary";0;"no";"yes"
57;"management";"married";"tertiary";9103;"no";"yes"
29;"blue-collar";"single";"secondary";908;"yes";"yes"
47;"technician";"married";"tertiary";1694;"no";"yes"
57;"management";"married";"tertiary";-92;"yes";"yes"
40;"blue-collar";"married";"secondary";188;"yes";"yes"
46;"services";"divorced";"secondary";0;"no";"yes"
43;"blue-collar";"single";"secondary";740;"yes";"yes"
45;"management";"married";"tertiary";655;"no";"yes"
24;"management";"married";"secondary";867;"yes";"yes"
40;"blue-collar";"married";"secondary";1009;"yes";"yes"
36;"unemployed";"married";"tertiary";4145;"no";"yes"
27;"blue-collar";"single";"secondary";-27;"no";"yes"
26;"admin";"single";"primary";-122;"yes";"yes"
43;"management";"married";"tertiary";149;"yes";"yes"
25;"blue-collar";"single";"primary";52;"yes";"yes"
27;"blue-collar";"married";"tertiary";335;"yes";"yes"
30;"technician";"married";"tertiary";526;"yes";"yes"
28;"admin";"single";"secondary";-7;"no";"yes"
27;"blue-collar";"married";"primary";-413;"no";"yes"
32;"admin";"divorced";"secondary";-241;"no";"yes"
41;"blue-collar";"single";"secondary";75;"yes";"yes"
37;"technician";"single";"tertiary";0;"no";"yes"
27;"technician";"single";"secondary";158;"no";"yes"
29;"services";"single";"secondary";84;"no";"yes"
33;"services";"married";"secondary";114;"no";"yes"
36;"technician";"married";"primary";0;"no";"yes"
28;"blue-collar";"single";"secondary";-127;"yes";"yes"
55;"blue-collar";"married";"secondary";49;"yes";"yes"
51;"technician";"married";"secondary";216;"no";"yes"
39;"technician";"single";"secondary";506;"yes";"yes"
42;"blue-collar";"divorced";"primary";213;"yes";"yes"
33;"services";"single";"secondary";170;"no";"yes"
36;"entrepreneur";"divorced";"tertiary";776;"no";"yes"
45;"technician";"married";"secondary";879;"no";"yes"
37;"self-employed";"married";"secondary";1633;"no";"yes"
46;"unemployed";"married";"secondary";926;"no";"yes"
32;"self-employed";"single";"tertiary";2559;"no";"yes"
28;"technician";"single";"secondary";909;"no";"yes"
45;"admin";"divorced";"secondary";-176;"no";"yes"
41;"blue-collar";"single";"secondary";1085;"yes";"yes"
59;"blue-collar";"divorced";"primary";1265;"no";"yes"
47;"technician";"single";"secondary";-239;"yes";"yes"
31;"blue-collar";"single";"secondary";726;"no";"yes"
31;"management";"single";"tertiary";296;"no";"yes"
33;"entrepreneur";"married";"secondary";-627;"yes";"yes"
52;"entrepreneur";"married";"tertiary";-468;"no";"yes"
26;"self-employed";"single";"secondary";551;"no";"yes"
25;"technician";"single";"secondary";0;"no";"yes"
25;"blue-collar";"married";"secondary";101;"no";"yes"
28;"blue-collar";"single";"secondary";517;"no";"yes"
33;"entrepreneur";"divorced";"tertiary";37;"no";"yes"
45;"management";"divorced";"tertiary";854;"no";"yes"
36;"services";"married";"secondary";30;"no";"yes"
26;"blue-collar";"single";"secondary";81;"no";"yes"
38;"technician";"married";"secondary";0;"no";"yes"
56;"blue-collar";"single";"secondary";663;"no";"yes"
26;"admin";"single";"secondary";102;"no";"yes"
26;"technician";"married";"secondary";370;"no";"yes"
25;"blue-collar";"single";"secondary";189;"no";"yes"
26;"unemployed";"single";"secondary";111;"no";"yes"
40;"blue-collar";"married";"primary";665;"yes";"yes"
37;"admin";"married";"primary";214;"yes";"yes"
43;"blue-collar";"single";"primary";0;"no";"yes"
41;"services";"divorced";"tertiary";1583;"yes";"yes"
49;"blue-collar";"married";"secondary";0;"no";"yes"
29;"admin";"divorced";"tertiary";0;"no";"yes"
39;"services";"divorced";"secondary";687;"yes";"yes"
38;"management";"married";"tertiary";327;"yes";"yes"
26;"technician";"married";"secondary";-119;"no";"yes"
32;"management";"married";"tertiary";794;"yes";"yes"
33;"blue-collar";"married";"primary";-191;"yes";"yes"
31;"management";"single";"tertiary";409;"no";"yes"
49;"blue-collar";"married";"primary";3;"no";"yes"
27;"unemployed";"single";"primary";9;"no";"yes"
30;"blue-collar";"single";"secondary";155;"yes";"yes"
35;"blue-collar";"married";"secondary";1330;"no";"yes"
26;"blue-collar";"single";"secondary";-29;"yes";"yes"
34;"admin";"married";"secondary";-33;"yes";"yes"
28;"admin";"single";"secondary";-170;"no";"yes"
25;"blue-collar";"single";"secondary";1243;"no";"yes"
30;"blue-collar";"single";"secondary";1598;"yes";"yes"
30;"services";"married";"secondary";5;"no";"yes"
47;"services";"married";"secondary";367;"yes";"yes"
57;"admin";"divorced";"secondary";658;"no";"yes"
38;"management";"married";"tertiary";1722;"yes";"yes"
54;"technician";"married";"secondary";-315;"no";"yes"
25;"blue-collar";"single";"primary";2483;"no";"yes"
30;"blue-collar";"married";"secondary";0;"yes";"yes"
26;"management";"single";"tertiary";45;"no";"yes"
31;"student";"married";"primary";46;"yes";"yes"
29;"blue-collar";"single";"secondary";482;"no";"yes"
49;"blue-collar";"married";"secondary";3728;"yes";"yes"
60;"retired";"divorced";"secondary";1099;"no";"yes"
60;"management";"married";"tertiary";2222;"yes";"yes"
29;"management";"single";"tertiary";983;"yes";"yes"
55;"management";"divorced";"secondary";204;"yes";"yes"
44;"admin";"married";"secondary";1074;"yes";"yes"
47;"technician";"married";"secondary";3466;"yes";"yes"
35;"admin";"married";"secondary";-203;"yes";"yes"
35;"entrepreneur";"married";"secondary";2436;"no";"yes"
38;"technician";"married";"secondary";976;"yes";"yes"
34;"entrepreneur";"married";"tertiary";146;"yes";"yes"
50;"technician";"married";"secondary";156;"no";"yes"
43;"admin";"married";"tertiary";189;"yes";"yes"
44;"admin";"divorced";"secondary";163;"yes";"yes"
51;"services";"divorced";"secondary";242;"no";"yes"
31;"technician";"married";"secondary";1173;"yes";"yes"
39;"technician";"married";"tertiary";0;"yes";"yes"
59;"management";"married";"tertiary";296;"no";"yes"
25;"services";"single";"secondary";333;"no";"yes"
58;"management";"married";"tertiary";3864;"yes";"yes"
30;"entrepreneur";"married";"primary";2686;"yes";"yes"
34;"blue-collar";"single";"primary";-109;"yes";"yes"
51;"services";"divorced";"secondary";65;"no";"yes"
60;"retired";"married";"secondary";597;"no";"yes"
51;"entrepreneur";"married";"secondary";-799;"no";"yes"
37;"management";"divorced";"tertiary";1775;"no";"yes"
30;"blue-collar";"single";"primary";0;"no";"yes"
46;"entrepreneur";"divorced";"secondary";-563;"no";"yes"
29;"student";"single";"tertiary";5;"no";"yes"
27;"entrepreneur";"married";"tertiary";139;"no";"yes"
28;"management";"single";"tertiary";0;"yes";"yes"
34;"blue-collar";"single";"secondary";855;"yes";"yes"
27;"management";"single";"tertiary";151;"yes";"yes"
26;"technician";"single";"secondary";354;"no";"yes"
36;"management";"married";"tertiary";673;"yes";"yes"
44;"blue-collar";"married";"primary";1265;"yes";"yes"
39;"blue-collar";"married";"tertiary";597;"no";"yes"
30;"technician";"married";"secondary";-393;"yes";"yes"
31;"unemployed";"divorced";"tertiary";256;"yes";"yes"
56;"blue-collar";"married";"primary";0;"yes";"yes"
29;"blue-collar";"married";"secondary";2870;"yes";"yes"
43;"blue-collar";"married";"secondary";184;"no";"yes"
32;"blue-collar";"married";"secondary";1905;"yes";"yes"
30;"admin";"single";"secondary";-36;"no";"yes"
40;"blue-collar";"married";"secondary";-839;"yes";"yes"
42;"services";"married";"secondary";3465;"yes";"yes"
27;"student";"married";"secondary";119;"yes";"yes"
35;"management";"married";"tertiary";36;"no";"yes"
35;"housemaid";"married";"primary";113;"yes";"yes"
32;"blue-collar";"single";"secondary";118;"yes";"yes"
39;"technician";"married";"secondary";251;"yes";"yes"
31;"blue-collar";"divorced";"secondary";-277;"yes";"yes"
26;"services";"single";"secondary";-189;"no";"yes"
42;"management";"married";"tertiary";4;"yes";"yes"
27;"services";"single";"secondary";1820;"yes";"yes"
33;"self-employed";"divorced";"secondary";1904;"yes";"yes"
51;"blue-collar";"married";"primary";201;"yes";"yes"
33;"admin";"married";"secondary";0;"yes";"yes"
30;"technician";"single";"tertiary";178;"no";"yes"
52;"housemaid";"married";"primary";3798;"yes";"yes"
42;"blue-collar";"divorced";"primary";301;"yes";"yes"
31;"management";"divorced";"tertiary";294;"yes";"yes"
27;"services";"married";"secondary";0;"yes";"yes"
44;"blue-collar";"single";"secondary";292;"no";"yes"
40;"entrepreneur";"divorced";"secondary";2998;"yes";"yes"
46;"housemaid";"divorced";"primary";2084;"yes";"yes"
32;"services";"divorced";"secondary";454;"yes";"yes"
56;"technician";"divorced";"secondary";179;"no";"yes"
33;"blue-collar";"married";"secondary";661;"yes";"yes"
33;"blue-collar";"married";"secondary";89;"yes";"yes"
32;"self-employed";"married";"primary";102;"yes";"yes"
41;"blue-collar";"divorced";"primary";138;"yes";"yes"
31;"admin";"single";"secondary";622;"no";"yes"
30;"admin";"divorced";"secondary";10;"yes";"yes"
34;"admin";"divorced";"secondary";-251;"no";"yes"
43;"entrepreneur";"married";"secondary";104;"yes";"yes"
28;"blue-collar";"married";"secondary";173;"no";"yes"
32;"admin";"divorced";"secondary";-46;"no";"yes"
31;"blue-collar";"divorced";"secondary";0;"yes";"yes"
35;"entrepreneur";"single";"tertiary";145;"yes";"yes"
31;"management";"married";"tertiary";325;"yes";"yes"
25;"services";"single";"secondary";2311;"no";"yes"
56;"retired";"divorced";"tertiary";158;"no";"yes"
47;"technician";"married";"secondary";1981;"yes";"yes"
39;"management";"married";"tertiary";1423;"yes";"yes"
51;"management";"married";"tertiary";2455;"yes";"yes"
54;"technician";"divorced";"secondary";859;"no";"yes"
56;"services";"married";"primary";486;"no";"yes"
55;"housemaid";"married";"secondary";127;"yes";"yes"
26;"blue-collar";"single";"primary";409;"yes";"yes"
40;"admin";"single";"secondary";664;"no";"yes"
26;"technician";"single";"secondary";223;"no";"yes"
35;"management";"single";"tertiary";-324;"no";"yes"
34;"services";"single";"secondary";-30;"no";"yes"
41;"management";"single";"tertiary";1253;"no";"yes"
44;"management";"married";"primary";4758;"yes";"yes"
33;"management";"single";"tertiary";30;"yes";"yes"
36;"management";"divorced";"tertiary";81;"no";"yes"
38;"technician";"married";"secondary";0;"yes";"yes"
35;"technician";"married";"tertiary";328;"yes";"yes"
41;"technician";"single";"tertiary";145;"no";"yes"
28;"blue-collar";"married";"secondary";751;"yes";"yes"
26;"services";"married";"secondary";-379;"yes";"yes"
39;"blue-collar";"single";"secondary";0;"no";"yes"
37;"admin";"married";"secondary";1110;"yes";"yes"
25;"management";"married";"secondary";2228;"yes";"yes"
46;"management";"divorced";"tertiary";2166;"yes";"yes"
